isbn,title,rating_count,reviews,rating_value
9645757185,دل سگ,32217,1490,4.14
9644482379,آداب بی‌قراری,947,67,3.29
,پدرو پارامو,32642,2293,4.05
964564349X,زمین سوخته,680,85,3.76
Persian,تعطيلات نيكولا كوچولو,3490,113,4.21
Persian,پیامبر و دیوانه,2394,90,3.41
9643128741,آئورا,18472,1348,3.79
Persian,حدیث نفس - جلد اول,123,19,3.80
9789643621377,چند روایت معتبر,1800,87,3.19
Persian,علویه خانم و ولنگاری,1184,56,3.71
9642575000,ضیافت,34108,1200,4.03
9643290573,اگر شبی از شب‌های زمستان مسافری,63483,5038,4.07
964305876X,طرف گرمانت,5970,478,4.31
9789645881793,خنده در تاریکی,10849,705,3.96
9643059030,در سایه دوشیزگان شکوفا,8742,665,4.41
9643621971,استخوان خوک و دست‌های جذامی,2760,179,3.07
9789647033930,کیمیاگر,1708944,66502,3.85
9789643058739,سرخی تو از من,388,29,3.11
9643629410,برای سنگ‌ها,100,18,3.24
9789645064,دا,846,94,3.68
9789647196185,کسی به سرهنگ نامه نمی‌نویسد,24657,1227,3.73
Persian,يوزپلنگاني كه با من دويده‌اند,2411,300,3.63
9789643058555,سه کتاب,2387,64,3.38
9646751822,شب هزار و یکُم,439,28,4.04
9645620333,سفر به انتهای شب,27264,1502,4.23
Persian,تيستو سبزانگشتی,2002,135,4.04
Persian,رازی در كوچه‌ها,258,27,3.32
Persian,ققنوس در باران,679,23,3.99
9789641850359,روح پراگ,1202,159,3.86
9645643473,داستان یک شهر,558,47,3.86
9646714579,پریچهر,983,67,2.48
964638028X,هزارتوهای بورخس,25377,1223,4.46
9646701183,دفترچه ممنوع,898,75,3.45
,مهمانی خداحافظی,10805,622,3.85
9647081081,هفده داستان كوتاه از هفده نويسنده ناشناس,135,4,3.32
9789643725495,حالات و مقامات م. امید,125,14,3.80
Persian,تام ساير,670635,8444,3.90
Persian,مرگ در جنگل,400,35,3.88
9789642090235,قصر,36959,1592,3.97
9646796249,پسرک لبوفروش,274,9,3.72
Persian,تو را دوست دارم چون نان و نمک,541,37,3.59
Persian,خوبیِ خدا,842,88,3.61
Persian,زندگی جای دیگری است,12911,670,3.95
9643621464,دیوانه بازی,1430,157,3.74
9643058204,تقسیم,635,46,3.53
0000004353,هوشمندان سیاره اوراک,424,38,3.67
Persian,پنجره زودتر می‌میرد,91,12,3.79
0307277674,The Da Vinci Code,1700640,44205,3.82
9644322959,كودك، سرباز و دريا,235,19,3.82
9789642436064,زمستان ۶۶,73,6,2.81
9649971580,رنج‌های ورتر جوان,64979,3252,3.65
Persian,نوشتن با دوربین,410,29,3.39
9646141307,از پیدا و پنهان,24,1,4.04
9786007289075,فلسفه‌ای برای زندگی: رواقی زیستن در دنیای امروز,10058,854,4.21
9644482247,گدا,3136,477,3.71
English,Pride and Prejudice,2523680,55928,4.25
9645881625,چه كسی باور می‌كند، رُستم,439,47,3.56
Persian,حافظ به سعی سایه,6973,312,4.64
Persian,پیكر فرهاد,1269,94,3.36
Farsi,پاگرد,136,12,3.24
Farsi,داستان ادبیات و سرگذشت اجتماع,22,2,3.68
9643155625,جنس دوم,24597,1040,4.12
0096494166,كتاب كوچك فنگ شويي,59,4,3.07
9643112551,زندگی نو,6373,458,3.55
0096491396,خورشيد را بيدار كنيم,3028,123,3.99
9789646003781,بی بال پریدن,300,31,3.72
Persian,یکی بود و یكی نبود,919,58,3.72
0099578514,Midnight's Children,93727,5580,3.99
Persian,ترانه‌های کوچکِ غربت,528,29,4.15
Persian,و نیچه گریه کرد,34155,2007,4.29
9646205607,در غرب خبری نیست,317376,8603,3.95
9646194265,جای خالی سلوچ,3533,337,4.11
9789645600158,انسان و سرنوشت,151,15,3.64
9789643055745,روی ماه خداوند را ببوس,6265,462,3.09
9789646751491,سلاخ‌خانه‌ی شماره‌ی پنج,999399,23091,4.07
Persian,یک جلوش تا بینهایت صفرها,614,29,3.46
9789644481550,مدراتوکانتابیله,3239,221,3.52
Persian,مثنوی معنوی,3497,180,4.44
964908382,میان اشباح,7,1,3.71
9789643112,دالان بهشت,1642,155,2.91
0192833596,Great Expectations,575829,13993,3.76
9645571030,نیمه غایب,997,60,3.28
9645639239,روی سل پایانی,7,0,2.86
9644362055,کشتی پهلو گرفته,710,58,4.04
9643626164,هیچ‌کس مثل تو مال این‌جا نیست,30676,3431,3.82
Persian,رود راوی,263,33,3.61
Persian,اقلیم حضور: یادنامه شاهرخ مسکوب,7,3,4.29
9645732417,دریا در من,360,25,3.54
9645881420,خاطرات پس از مرگ براس کوباس,13178,528,4.23
9643620344,سه قطره خون,4966,176,3.78
9649210644,چنين گذشت بر من,448,60,3.83
0096467512,حقایق درباره‌ی لیلا دختر ادریس,449,22,3.72
Persian,باغ بلور,426,22,2.94
9789645512387,پرده‌خانه,245,16,3.96
9645512190,عیّار تنها,227,12,3.69
0571160824,Betrayal,5718,228,3.96
9643622185,در قند هندوانه,11102,771,4.02
,ژوزف بالسامو,1017,58,3.98
0393978893,Wuthering Heights,1151139,30435,3.84
9789644870415,سرگذشت هکلبری‌فین,1071189,13911,3.81
